row_id,position,department,seniority
54,Abteilungsleiter IT-Produktion und Systemtechnik,Information Technology,5.0
55,Geschäftsführer,Other,6.0
56,"Projektleiter, Teamleiter",Project Management,4.0
57,"PC-Support und Installation, Verkauf",Customer Support,1.0
58,Informatik Studium,Information Technology,1.0
59,Founder & CEO,Business Development,6.0
60,Senior Video Editor,Marketing,3.0
61,Senior Video Editor,Marketing,3.0
62,DI Colorist,Other,2.0
63,Geschäftsführer,Other,6.0
64,Director,Other,6.0
65,Senior Publicist,Marketing,3.0
66,Manager,Other,5.0
67,Freier Agent / Handelsvertreter,Sales,1.0
68,Freier Agent / Handelsvertreter,Sales,1.0
69,Assistant to the Managing Director,Administrative,1.0
70,Teilhabender Geschäftsführer,Business Development,5.0
71,General Manager und Geschäftsinhaber,Other,5.0
72,Soldat,Other,1.0
73,Assistent to Managing Director,Administrative,2.0
74,Versicherungskaufmann,Sales,1.0
75,Verkäufer,Sales,1.0
76,Koordinerende sagsbehandler,Administrative,2.0
77,Head of Supply Chain,Purchasing,5.0
78,Digitalisierungsmanager,Business Development,5.0
79,Trainee Quality Management / Communication Management,Other,1.0
80,Wissenschaftlicher Mitarbeiter mit akademischem Abschluss,Other,1.0
81,Director of Finance (China),Other,6.0
82,Director Of Finance,Other,6.0
83,Head of Automotive Strategy & New Business - Group Finance,Business Development,5.0
84,Project Manager - Volkswagen Consulting,Project Management,4.0
85,Interim Sales Manager,Sales,4.0
86,Senior Consultant,Consulting,3.0
87,Consultant,Consulting,2.0
88,Project assistant intern,Project Management,1.0
89,Inhaber,Other,5.0
90,Inhaber,Other,5.0
91,TouchLife Massage Praktikerin,Other,1.0
92,"div. Coachingausbildungen (Barbara Sher, Angelika Gulder)",Other,1.0
93,Entspannungspädagogin AGL,Other,1.0
94,Bankangestellte,Administrative,1.0
95,Marketing Contractor,Marketing,2.0
96,"Sachbearbeiterin Buchhaltung, Eventmanagement.",Administrative,2.0
97,Social Media-Koordinator,Marketing,2.0
98,"Veranstaltungsassistenz, Trainerin",Administrative,1.0
99,"Contractor, external service provider - Marketing, Events",Marketing,1.0
100,Job bzw. Berufungs-Findungs-Coach,Human Resources,2.0
101,"Assistenz, Veranstaltungsvorbereitung, freie Mitarbeiterin",Administrative,1.0
102,Assistentin im Bereich Gesundheitspolitik und GF Assistenz,Administrative,1.0
103,"verschiedene Positionen, z.B. Assistenz, Sekretariat, Sachbearbeitung",Administrative,1.0
104,Buchhalterin,Administrative,2.0
105,"Bankkauffrau, verschiedene Positionen",Administrative,2.0
106,"Bankkauffrau, verschiedene Positionen",Administrative,2.0
107,Geschäftsführer CFO,Other,6.0
108,Vorstand,Other,5.0
109,Aufsichtsrat,Other,5.0
110,Investor,Business Development,2.0
111,Investor,Business Development,2.0
112,Mitglied der Geschäftsleitung,Other,5.0
113,Manager,Other,5.0
114,Senior Berater,Consulting,3.0
115,Senior Consultant,Consulting,3.0
116,Berater,Consulting,2.0
117,"Global Marketing Director, Nonwovens",Marketing,6.0
118,"Global Strategy Director, Insulation",Business Development,6.0
119,"Global Product Management & Marketing Director, Glass Reinforcements",Marketing,6.0
120,"Product Leader, Composites",Other,4.0
121,Strategy Analyst and Senior R&D Engineer,Other,3.0
122,Graduate Research & Teaching Assistant,Other,1.0
123,Social Researcher,Other,2.0
124,Wissenschaftlicher Mitarbeiter Versorgungsforschung,Other,1.0
125,Projektleitung: Prozessevaluation eines innovativen Versorgungsmodells,Project Management,4.0
126,Freier Projektmitarbeiter Datenanalyse,Project Management,1.0
127,CFO,Other,6.0
128,Berater,Consulting,2.0
129,Director,Other,6.0
130,Vice President Sales / Senior Manager Quality and R&D,Sales,6.0
131,"Production Manager, Product Manager, Project Manager",Project Management,5.0
132,Center Management,Other,5.0
133,Senior Project Manager,Project Management,3.0
134,"Management Consultant, Senior Project Manager",Consulting,5.0
135,Management Consultant,Consulting,2.0
136,Senior Project Manager,Project Management,3.0
137,Senior Consultant,Consulting,3.0
138,Leitung Projekt und Servicemanagement,Project Management,4.0
139,Project Manager,Project Management,4.0
140,Head of SES,Other,5.0
141,Geschäftsführer,Other,5.0
142,Federal Account Manager,Sales,3.0
143,Portfolio Manager,Project Management,5.0
144,Portfolio Systems Manager,Project Management,5.0
145,Associate Portfolio Manager,Project Management,2.0
146,Mortgage Loan Officer,Sales,2.0
147,Federal IT Account Manager,Sales,3.0
148,Responsable logistique,Purchasing,4.0
149,Unternehmensinhaber,Business Development,5.0
150,Brand Strategist,Marketing,3.0
151,Self Employed,Other,1.0
152,Product Manager,Marketing,5.0
153,Art Director,Marketing,6.0
154,Senior Category Manager,Purchasing,3.0
155,Global Category Manager,Purchasing,5.0
156,Commodity Manager,Purchasing,3.0
157,Procurement Assistant,Purchasing,1.0
158,Board Member,Other,5.0
159,Manager,Other,5.0
160,General Manager,Other,5.0
161,Diplom Ökonom,Other,1.0
162,Inhaber,Other,5.0
163,Hiring Manager,Human Resources,5.0
164,Owner and Executive Director,Business Development,6.0
165,Senior Manager,Other,5.0
166,Senior Consultant,Consulting,3.0
167,Sabbatical,Other,1.0
168,Manager COC Wiring Harness MB Trucks @ MB Türk,Other,5.0
169,Project Manager Development Exterior Parts MB Cars,Project Management,4.0
170,Manager Development Exterior Lighting Systems MB Cars,Other,5.0
171,Manager Development Brake- and Chassis Control Systems MB Trucks,Business Development,5.0
172,Ingenieur Mechatronik,Other,2.0
173,Student an der Berufsakademie,Other,1.0
174,Manager COC Wiring Harness Mercedes-Benz Trucks,Other,5.0
175,Family Manager,Administrative,1.0
176,Founder & Managing Director,Business Development,6.0
177,Senior Consultant,Consulting,3.0
178,Head of Technology & Projects,Information Technology,6.0
179,Continuous Improvement Manager. Six Sigma Black Belt,Project Management,5.0
180,Six Sigma Black Belt,Consulting,2.0
181,Program Manager,Project Management,4.0
182,Design Manager Compressor units,Other,5.0
183,Project Engineer,Project Management,2.0
184,Service Engineer,Information Technology,2.0
185,Orthodontie assistent,Administrative,1.0
186,Leerling orthodontie assistent,Administrative,1.0
187,senior tandarts assistent,Other,3.0
188,Senior Tandarts assistent,Other,3.0
189,Senior Tandarts assistent,Other,3.0
190,Manager Risk Advisory,Consulting,5.0
191,Systemadministrator Clientservices,Information Technology,2.0
192,Active Directory Specialist,Information Technology,2.0
193,IT-Techniker,Information Technology,1.0
194,Jr. Consultant PrePress,Consulting,1.0
195,IT Program Manager – Information Security,Information Technology,5.0
196,Technology Manager,Information Technology,5.0
197,Refurbishment Technician,Other,2.0
198,Sinclair College,Other,1.0
199,Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen,Other,2.0
200,IT-Consultant,Information Technology,2.0
201,IT-Consultant,Consulting,2.0
202,IT Consultant,Information Technology,2.0
203,IT Consultant,Information Technology,2.0
204,IT Consultant,Information Technology,2.0
205,IT Consultant,Consulting,2.0
206,IT Consultant,Consulting,2.0
207,IT Consultant,Information Technology,2.0
208,IT Consultant,Information Technology,2.0
209,IT Consultant,Consulting,2.0
210,IT Consultant,Information Technology,2.0
211,IT Consultant,Information Technology,2.0
212,IT Consultant,Information Technology,2.0
213,IT Consultant,Information Technology,2.0
214,IT Consultant,Information Technology,2.0
215,IT Consultant,Information Technology,2.0
216,IT Consultant,Consulting,2.0
217,Human Resources Director,Human Resources,6.0
218,Manager,Other,5.0
219,CEO,Other,6.0
220,CEO,Other,6.0
221,CEO and Shareholder,Other,6.0
222,CEO and Shareholder,Other,6.0
223,Founder and Shareholder,Business Development,5.0
224,Shareholder,Other,1.0
225,Head of Payment IT Solutions,Information Technology,4.0
226,Airline Consultant,Consulting,2.0
227,Manager Product Development,Business Development,5.0
228,Project Manager Airport & Airline Shopping,Project Management,3.0
229,Manager Finance & Controlling,Other,5.0
230,Customer Service,Customer Support,2.0
231,Banking Prudential Supervision Analyst,Other,2.0
232,Credit Risk Associate Director,Other,6.0
233,Senior Credit Risk Analyst,Other,3.0
234,Senior Financial & Business Strategy Analyst,Business Development,3.0
235,Strategy and Operations Corporate Consultant,Consulting,2.0
236,Financial Services Associate Auditor,Consulting,2.0
237,Geschäftsführer,Other,6.0
238,CEO,Other,6.0
239,Product Manager,Marketing,5.0
240,Investor,Business Development,2.0
241,Shareholder,Other,1.0
242,SVP People & Culture Management and Services; CEO METRO Campus Services GmbH,Human Resources,6.0
243,SVP HR Services & CEO METRO Campus Services GmbH,Human Resources,6.0
244,Global Director HR Operations & Compensation / Managing Director METRO Campus Services GmbH,Human Resources,6.0
245,Global Director HR Campus,Human Resources,6.0
246,Director Campus HR Operations,Human Resources,6.0
247,Director HR METRO SYSTEMS GmbH,Human Resources,6.0
248,Head of HR Management Project Foundation,Human Resources,6.0
249,Head of HR International; Compensation & Benefits,Human Resources,6.0
250,Head of Staffing & Compensation International Management,Human Resources,5.0
251,Manager HR International /Deputy Head of HR International,Human Resources,5.0
252,Manager International Assignments & Pensions,Human Resources,5.0
253,"Senior Associate, Lawyer",Other,3.0
254,kraftfahrer,Other,1.0
255,kraftfahrer,Other,1.0
256,Managing Director,Other,6.0
257,Senior Application Developer,Information Technology,3.0
258,Building Consultant,Consulting,2.0
259,Compliance,Other,2.0
260,Construction manager,Project Management,5.0
261,Managing Director,Other,6.0
262,Managing Director,Other,6.0
263,International Operations Director,Other,6.0
264,Kaufmännischer Leiter,Administrative,5.0
265,Senior Director,Other,6.0
266,Commercial Director On Trade,Sales,6.0
267,Commercial Manager,Business Development,5.0
268,Commercial Manager,Sales,5.0
269,Commercial Manager,Business Development,5.0
270,CEO,Other,6.0
271,Professional Freelancer,Other,2.0
272,Senior Manager,Other,5.0
273,Managing Consultant,Consulting,5.0
274,Managing Consultant,Consulting,5.0
275,Managing Consultant,Consulting,5.0
276,Principle Consultant,Consulting,3.0
277,Consultant,Consulting,2.0
278,Vertrieb und Logistik,Sales,1.0
279,Disponent und stellvertretender Niederlassungsleiter,Administrative,4.0
280,Disponent und stellvertretender Niederlassungsleiter,Administrative,4.0
281,Ausbildung Speditionskaufmann und Disponent,Purchasing,1.0
282,Graduate Engineer,Other,1.0
283,site engineer,Other,2.0
284,site engineer,Other,2.0
285,Undergraduate Structural Engineer,Other,1.0
286,Senior Architect,Information Technology,3.0
287,Junior Architect,Information Technology,1.0
288,Junior Architect,Information Technology,1.0
289,Architectural Intern,Information Technology,1.0
290,Architectural Intern,Other,1.0
291,Unit Secretary,Administrative,1.0
292,Dozent DHBW Stuttgart,Other,1.0
293,Kfm. Leiter/Prokurist,Administrative,5.0
294,Kfm. Leiter,Administrative,5.0
295,Stellv. Kfm. Leiter/Leiter Controlling,Administrative,5.0
296,Mitbegründer und Geschäftsführer,Business Development,5.0
297,Systemischer Coach und Organisationsberater,Consulting,2.0
298,Sprecher der Geschäftsführung,Other,6.0
299,Geschäftsführer,Other,5.0
300,Referent des Vorstands,Administrative,3.0
301,Gründungsdirektor des IWM,Other,6.0
302,Hochschulprofessor,Other,1.0
303,Hochschulprofessor / Prodekan,Other,5.0
304,Hochschulprofessor,Other,1.0
305,Medical Service Corps Officer,Other,1.0
306,Data Researcher,Other,1.0
307,Internet Project Manager,Project Management,3.0
308,User Experience Designer,Marketing,2.0
309,"Landscape Designer, Internship",Other,1.0
310,MD PhD MBA MMSc,Other,2.0
311,Postdoc,Other,1.0
312,Process Improvement Specialist,Project Management,2.0
313,Inventory Control Supervisor,Purchasing,4.0
314,Customer Solutions Analyst,Customer Support,2.0
315,International Transportation Analyst,Other,1.0
316,Operations Lead,Other,4.0
317,Logistics Coordinator,Other,2.0
318,Facility Operations Student Coordinator,Administrative,1.0
319,Facility Operations Student Manager,Other,1.0
320,Facilities Assistant,Administrative,1.0
321,Transporter,Other,1.0
322,Cashier,Other,1.0
323,Front Desk,Administrative,1.0
324,System Administrator,Information Technology,2.0
325,VMware Specialist at KMD Managed Services,Information Technology,2.0
326,VMware Specialist at Nordic Accounts,Information Technology,2.0
327,System Administrator,Information Technology,2.0
328,System Administrator,Information Technology,2.0
329,Intern,Other,1.0
330,Bar Manager,Other,5.0
331,Co-Fundador & Lead Developer,Information Technology,4.0
332,Full Stack Developer,Information Technology,2.0
333,Full Stack Developer,Information Technology,2.0
334,Platform Manager,Information Technology,5.0
335,Teacher,Other,2.0
336,Owner,Business Development,5.0
337,Teacher and Developer,Other,1.0
338,Agent,Other,1.0
339,Business Manager DACH,Business Development,5.0
340,Managing Director,Other,6.0
341,Sales Account Manager,Sales,3.0
342,Sales Account Manager,Sales,3.0
343,Product Manager Brokerage and Clearing,Project Management,5.0
344,Senior Trader Fixed Income,Sales,3.0
345,Sales Manager,Sales,5.0
346,Sales,Sales,1.0
347,"Director, Digital Services Business",Business Development,6.0
348,E-Commerce Manager,Marketing,5.0
349,Manager Third Party Sales,Sales,5.0
350,Global Third Party Sales Coordinator,Sales,1.0
351,Segment Solution Sales Developer & Coordinator,Sales,2.0
352,Management-Trainee,Business Development,1.0
353,Administrative Assistant (Student Work),Administrative,1.0
354,Consultant (Student Work),Consulting,1.0
355,Call-Center Agent (Student Work),Customer Support,1.0
356,Unternehmensinhaber,Business Development,5.0
357,Docent lichamelijke opvoeding,Other,2.0
358,Dans trainer / coach,Other,1.0
359,Horecamedewerker,Other,1.0
360,Marketing Engineer,Marketing,2.0
361,Product Portfolio Manager,Marketing,5.0
362,Field Application Engineer LED Modules and Driver,Information Technology,2.0
363,Project Engineer,Project Management,2.0
364,Product Development Engineer,Business Development,2.0
365,Process Integration Engineer,Information Technology,2.0
366,Prozessingenieur,Other,2.0
367,Technischer Leiter,Other,5.0
368,Senior Maintenance Manager Filling,Other,3.0
369,Abteilungsleiter Instandhaltung,Other,4.0
370,Abteilungsleiter ST-PI,Other,5.0
371,Servicetechniker Sondermaschinenbau,Other,2.0
372,Mechaniker im Sondermaschinenbau,Other,2.0
373,Mechaniker im Sondermaschinenbau,Other,1.0
374,Mechaniker in der Produktentwicklung,Other,1.0
375,Mechaniker im Betriebsmittelbau,Other,1.0
376,Senior Advisor to the CS Pension Fund in Switzerland,Consulting,3.0
377,CEO CS Pension Fund in Switzerland,Other,6.0
378,Board Member of the Supervisory Board of RFPSS,Other,5.0
379,Board Member,Other,5.0
380,Past President,Other,5.0
381,Chief Actuary,Other,5.0
382,"Senior Manager, Group Internal Audit",Other,5.0
383,Senior Pension Actuary,Human Resources,3.0
384,Gruppenleiter HR KPI & Reporting,Human Resources,4.0
385,"HR Projektmanager (Projekte, Systeme, Controlling)",Human Resources,4.0
386,Mitarbeiter der Stabstelle der Bereichsleitung Personal – Team Projekte/Berichte,Human Resources,2.0
387,"Duales Studium: Betriebswirt (VWA) / Bachelor of Arts, Ausbildung: Groß- und Außenhandelskaufmann",Administrative,1.0
388,Chief Legal Officer,Other,6.0
389,Associate,Other,2.0
390,CEO,Other,6.0
391,CEO,Other,6.0
392,Verkaufsleiter,Sales,4.0
393,Responsable développement projets,Project Management,4.0
394,Assistante de direction,Administrative,1.0
395,Assistant gestion de projet,Project Management,1.0
396,Assistante développement projet,Project Management,1.0
397,Collaboratrice comptable,Administrative,1.0
398,Transformation Partner,Consulting,2.0
399,Senior Strategy Consultant,Consulting,3.0
400,Strategy Consultant,Consulting,2.0
401,"Graduate, Strategy & Economics",Business Development,1.0
402,Finance Graduate,Other,1.0
403,Student Assistant - Commercial Finance,Administrative,1.0
404,Commercial Finance Intern,Business Development,1.0
405,Student Business Controller,Business Development,1.0
406,"Executive Partner, Senior Software Engineer",Information Technology,3.0
407,Senior Solutions Architect,Information Technology,3.0
408,Lecturer,Other,2.0
409,PSG Architect,Information Technology,3.0
410,Senior IT Consultant,Consulting,3.0
411,"Senior IT Consultant, European Technical Lead",Information Technology,4.0
412,Statistical Consultant,Consulting,2.0
413,Praktikant,Other,1.0
414,Secretary General/CEO Welthungerhilfe,Administrative,6.0
415,Executive Director Programme and Projects,Project Management,6.0
416,Head of Sector Unit,Other,5.0
417,Regional Director West Africa,Other,6.0
418,Programm Manager,Project Management,5.0
419,Chair of the Board of Directors,Other,6.0
420,Junior Rural Development Expert,Consulting,1.0
421,Fachreferent MatWerk - Materials Engineering Specialist,Other,2.0
422,CEO,Other,6.0
423,Gesellschafter,Other,1.0
424,Head Of Sales,Sales,5.0
425,Projektmanagement & Sales,Project Management,2.0
426,Intern,Other,1.0
427,Intern,Other,1.0
428,Dualer Student,Other,1.0
429,Statistiker,Other,2.0
430,Business Expert,Consulting,2.0
431,Wissenschaftlicher Mitarbeiter,Other,1.0
432,Chief Operating Officer,Other,6.0
433,Co Owner,Business Development,5.0
434,Business Development Manager,Business Development,5.0
435,Manager Operations,Other,5.0
436,Project Lead,Project Management,4.0
437,Assistant Project Leader,Project Management,1.0
438,Draftsman,Other,1.0
439,Geschäftsführender Gesellschafter,Business Development,5.0
440,Adjunct Researcher,Other,1.0
441,Director eBusiness Development,Business Development,6.0
442,Director Product Management,Project Management,6.0
443,CEO,Other,6.0
444,Director IT/Media-Industry,Information Technology,6.0
445,CEO,Other,6.0
446,Senior Consultant,Consulting,3.0
447,Scientific Assistant,Other,1.0
448,Self-Employed,Other,1.0
449,Managing Partner,Business Development,6.0
450,Founding Partner,Business Development,5.0
451,Printing innovative materials and labels,Other,2.0
452,Focusing on multi nationals,Other,2.0
453,Quality Manager,Other,5.0
454,Quality Management,Other,5.0
455,Partner,Business Development,5.0
456,Global Program Coordinator,Project Management,2.0
457,Team Leader Information Systems,Information Technology,4.0
458,Country Manager (President),Business Development,6.0
459,Executive Board Member: VP Talent Management,Human Resources,6.0
460,Global Diversity Office - Research Project Intern,Human Resources,1.0
461,Junior Consultant,Consulting,1.0
462,Project Associate (Research & Consulting),Consulting,1.0
463,Sales & Promotion Intern,Sales,1.0
464,Teaching Assistant,Administrative,1.0
465,Student Internship,Other,1.0
466,Właściciel,Other,5.0
467,"Director, Marketing Communications",Marketing,6.0
468,Chief Information Officer,Information Technology,6.0
469,SVP Product & Technology,Information Technology,6.0
470,Vice President Business Intelligence,Business Development,6.0
471,Managing Partner,Business Development,6.0
472,Sr. Director Fulfillment,Other,6.0
473,Director Fulfillment,Other,6.0
474,Manager - Fulfillment/Operations,Other,5.0
475,Visiting Lecturer,Other,1.0
476,Senior Lecturer,Other,3.0
477,Projektmanager,Project Management,3.0
478,Wissenschaftlicher Mitarbeiter am Lehrstuhl für Finanzen,Other,1.0
479,Wissenschaftlicher Mitarbeiter am Kompetenzzentrum für empirische Methoden,Other,1.0
480,Junior-Consultant,Consulting,1.0
481,Präsidentin Technische Universität Berlin,Other,6.0
482,Professorin für Medizinische Biometrie,Other,5.0
483,Professorin für Medizinische Biometrie,Other,1.0
484,Wissenschaftlerin,Other,2.0
485,Doktorandin,Other,1.0
486,Sr. Customer Support spec.,Customer Support,3.0
487,Customer Support Engineer,Customer Support,2.0
488,Senior Sales Advisor,Sales,3.0
489,Magazijnmedewerker / verkoper,Other,1.0
490,Personalreferent,Human Resources,2.0
491,Pflegefachkraft,Other,2.0
492,freischaffender Künstler,Other,1.0
493,Subcommittee Member,Other,1.0
494,Committee Member,Other,1.0
495,Instagram Manager for fitness inclusion network,Marketing,2.0
496,Deputy Chief,Other,5.0
497,Battalion Chief,Other,4.0
498,Registered Nurse,Other,2.0
499,Product Manager,Marketing,5.0
500,Product Manager,Marketing,5.0
501,Lead Engineer Scania,Information Technology,4.0
502,Senior Professional I Development Engineer,Information Technology,3.0
503,Senior Professional I Development Engineer,Information Technology,3.0
504,Development Engineer,Information Technology,2.0
505,Development Engineer,Information Technology,2.0
506,OM/Customer Success Manager,Customer Support,4.0
507,Styrelseledamot,Other,5.0
508,Specialist på kundutveckling,Sales,2.0
509,Regional Key Account Manager,Sales,3.0
510,Account Manager,Sales,2.0
511,Account Manager,Sales,2.0
512,Säljare,Sales,2.0
513,Säljare,Sales,2.0
514,Säljare,Sales,1.0
515,Telefonsäljare,Sales,1.0
516,Säljare kommunikation,Sales,1.0
517,Ägare,Business Development,5.0
518,Geschäftsführer,Other,5.0
519,Senior Director Product Management,Project Management,6.0
520,Director Product Management,Project Management,6.0
521,CEO Emeldi Technologies,Other,6.0
522,VP Global Alliances,Business Development,6.0
523,Alliance Manager,Business Development,4.0
524,Project Manager & Business Consultant,Project Management,4.0
525,Project Consultant,Consulting,2.0
526,Matelot,Other,1.0
527,Armurié,Other,1.0
528,Opérateur radio,Other,1.0
529,Gebietsleiter LBS NordWest,Sales,4.0
530,Gebietsleiter,Sales,4.0
531,Bezirksdirektor,Other,6.0
532,Bezirksleiter,Other,5.0
533,Kundenberater,Customer Support,2.0
534,Kundenberater,Customer Support,2.0
535,"Chief Financial Officer, Treasurer and Secretary",Other,6.0
536,Senior Manager,Other,5.0
537,"Country Lead, Country Clinical Operations",Other,4.0
538,Study Start Up / Country Study Specialist,Project Management,2.0
539,‚Unblinded‘ Clinical Study Manager,Project Management,5.0
540,Senior Clinical Research Associate,Other,3.0
541,Clinical Research Associate II,Other,2.0
542,Clinical Research Associate II,Other,2.0
543,Clinical Research Associate,Other,2.0
544,Physiotherapist,Other,2.0
545,Physiotherapist,Other,2.0
546,Director,Other,6.0
547,Chairman,Other,5.0
548,Executive Director,Other,6.0
549,Executive Director,Other,6.0
550,Director,Other,6.0
551,Sales Manager,Sales,5.0
552,Technischer Berater,Consulting,2.0
553,Second Level Support,Customer Support,2.0
554,Undergraduate Research Assistant,Other,1.0
555,"IT Beef & Pork, Technical Analyst",Information Technology,1.0
556,"Academic Chair, LEAD LLC",Other,4.0
557,"Administrative and Office Assistant, LEAD LLC",Administrative,4.0
558,"Financial Strategy and Transformation, Business Analyst",Consulting,2.0
559,General Manager,Other,5.0
560,Technical Specialist,Information Technology,2.0
561,"Economic Adviser, Financial Services",Consulting,2.0
562,Team Lead Global Supply Management,Purchasing,4.0
563,Global Supply Analyst,Purchasing,1.0
564,Purchasing Manager,Purchasing,5.0
565,Event Assistant,Marketing,1.0
566,Student Assistant,Administrative,1.0
567,International Relation Intern,Other,1.0
568,Bauleitender Elektroinstallateur,Other,1.0
569,Prozessmanager,Project Management,5.0
570,Leiter Projektmanagement / Projektleiter,Project Management,4.0
571,Mitglied Gemeindeschreiberprüfungskommission,Administrative,1.0
572,Jurist,Other,2.0
573,Mitglied Wirteprüfungskommission,Other,1.0
574,Dozent Hochschule Luzern,Other,1.0
575,Unternehmensinhaber,Business Development,5.0
576,HR Business Partner,Human Resources,2.0
577,Lehrgangsleiter HR-Assistent*in & Referent SB Personalwesen,Human Resources,4.0
578,HR-Fachmann,Human Resources,2.0
579,Sachbearbeiter,Administrative,1.0
580,Wehrdienst,Other,1.0
581,Sachbearbeiter,Administrative,1.0
582,Kaufmann EFZ,Administrative,1.0
583,Corporate recruiter,Human Resources,2.0
584,HR Adviseur,Human Resources,2.0
585,Personeelsadviseur,Human Resources,2.0
586,Managing Consultant Secretarieel,Consulting,5.0
587,Managing Consultant,Consulting,5.0
588,Projectcoördinator duaal HBO leertraject,Project Management,1.0
589,Senior Consulent Content Uitzendbureau,Consulting,3.0
590,Unternehmensinhaber,Business Development,5.0
591,Sr. Drafting & Design Technologist .,Other,3.0
592,Avionics Sensor Systems and Electronic Warfare Systems,Information Technology,2.0
593,Jet Engine Mechanic,Other,1.0
594,Computer Aided Design Drafter,Other,1.0
595,Mechanical Designer,Other,1.0
596,Owner,Business Development,5.0
597,Service Director,Customer Support,6.0
598,Manager Professional Service,Other,5.0
599,Service Manager,Information Technology,5.0
600,Business Development Manager,Business Development,5.0
601,Manager Service Sales Germany,Sales,5.0
602,Manager Professional Services and Support,Customer Support,5.0
603,Business Manager Managed Services,Business Development,5.0
604,Support Engineer,Customer Support,2.0
605,Global Category Manager - Technology & Payment Solutions,Purchasing,5.0
606,Global Procurement & New Business Strategy Manager | Convenience Retail,Purchasing,5.0
607,Asia Pacific Procurement Manager | Convenience Retail,Purchasing,5.0
608,Procurement Manager - Co Pack AU NZ PNG,Purchasing,5.0
609,Procurement Manager - Indirects AU NZ PNG,Purchasing,5.0
610,Live Operations Consultant AUS,Consulting,2.0
611,Procurement Manager ANZ,Purchasing,5.0
612,Supply Chain/Sourcing Manager ANZ,Purchasing,5.0
613,National Procurement & Quality Manager,Purchasing,5.0
614,State Purchasing & Quality Manager,Purchasing,5.0
615,Account Manager,Sales,2.0
616,Office Manager & Finance Administrator,Administrative,2.0
617,Program Manager,Project Management,4.0
618,Senior Project Manager Upstream,Project Management,3.0
619,RE IT Lead Practitioner EMEA,Information Technology,4.0
620,"Head, Programme & Assurance",Project Management,5.0
621,Construction Project Manager,Project Management,3.0
622,Regional Project Manager,Project Management,4.0
623,Senior Change Management Advisor,Consulting,3.0
624,Work Management Consultant,Consulting,2.0
625,Project Consultant,Consulting,2.0
626,Project Manager I&C,Project Management,2.0
627,Business Analyst,Consulting,2.0
628,Managing Director - interim,Other,6.0
629,Assistant to the Director,Administrative,1.0
630,Managing Director / Partner,Other,6.0
631,Assistant Project Manager - parttime,Project Management,1.0
632,Chief Growth Officer,Business Development,6.0
633,"Director of Sales, Marketing and R&D",Sales,6.0
634,"Director of Sales, Marketing and Customer Experience",Sales,6.0
635,Vice President of Sales Foodservice,Sales,6.0
636,Division Manager - Eastern,Other,5.0
637,V.P. Sales,Sales,6.0
638,Director of Sales - Northern USA,Sales,6.0
639,Zone Manager - Sales East,Sales,5.0
640,Senior Software Developer,Information Technology,3.0
641,Senior Software Developer,Information Technology,3.0
642,Senior Software Engineer,Information Technology,3.0
643,Senior Software Developer,Information Technology,3.0
644,Senior Software Developer,Information Technology,3.0
645,Senior Software Developer,Information Technology,3.0
646,Software Developer,Information Technology,2.0
647,Software Developer,Information Technology,1.0
